vie,eng
"Thị tuế thập nguyệt chi vọng, bộ tự Tuyết Đường, tương quy ư Lâm Cao. Nhị khách tòng dư, quá Hoàng Nê chi phản. Sương lộ ký giáng, mộc diệp tận thoát, nhân ảnh tại địa, ngưỡng kiến minh nguyệt. Cố nhi lạc chi, hành ca tương đáp.","On the fifteenth day of the tenth month of that year, I left Tuyet Duong's house to go to Lam Cao communal house. Two guests followed me, past Hoang Ne waterfall, dew had fallen, leaves had fallen, shadows of people on the ground, looking up to see the bright moon. Looking at each other happily, walking and singing, one person singing, the other singing along."
"Dĩ nhi thán viết: “Hữu khách vô tửu, hữu tửu vô hào; nguyệt bạch phong thanh, như thử lương dạ hà?” Khách viết: “Kim giả bạc mộ, cử võng đắc ngư, cự khẩu tế lân, trạng như Tùng giang chi lô. Cố an sở đắc tửu hồ?” Quy nhi mưu chư phụ. Phụ viết: “Ngã hữu đấu tửu, tàng chi cửu hĩ, dĩ đãi dư bất thì chi nhu.”","Then sighing: “There are guests but no wine, there is wine but no snacks; the moon is bright, the wind is cool, what can we do on this beautiful night?” The guest said: “This afternoon, I pulled up the net and caught a fish, big mouth, small fins, shaped like a lo fish from Tung River.  How can we get some wine!” I went home to discuss with my wife. My wife said: “I have a dau of wine, saved for a long time, waiting for you to use it unexpectedly.”"
"Ư thị huề tửu dữ ngư, phục du ư Xích Bích chi hạ. Giang lưu hữu thanh, đoạn ngạn thiên xích. Sơn cao nguyệt tiểu, thuỷ lạc thạch xuất. Tằng nhật nguyệt chi kỷ hà, nhi giang sơn bất khả phục thức hĩ. Dư nãi nhiếp y nhi thượng, lý sàm nham, phi mông nhung, cứ hổ báo, đăng cầu long; phan thê cốt chi nguy sào, phủ Phùng Di chi u cung. Cái nhị khách bất năng tòng yên. Hoạch nhiên trường khiếu, thảo mộc chấn động, sơn minh cốc ưng, phong khởi thuỷ dũng. Dư diệc tiễu nhiên nhi bi túc nhiên nhi khủng, lẫm hồ kỳ bất khả lưu dã. Phản nhi đăng chu, phóng hồ trung lưu, thính kỳ sở chỉ nhi hưu yên. Thì dạ tương bán, tứ cố tịch liêu. Thích hữu cô hạc, hoành giang đông lai, sí như xa luân, huyền thường cảo y, kiết nhiên trường minh, lược dư chu nhi tây dã.","Then we brought the wine and fish, and went to play under Xich Bich mountain. There was the sound of river water flowing, a thousand feet from the shore. The mountain seemed high, the moon seemed small.  The water was shallow, rocks jutting out, not much time had passed, but the landscape (the place we played before) was unrecognizable. I had to lift my robe and climb up, stepping on jagged rocks, parting thick grass, sitting on (a rock shaped like a) tiger or leopard, climbing up (a branch curved like a) dragon, to a falcon's nest in a precarious place, looking down at the dark Peng Di (Water Palace). It seemed the two guests could not follow, shouted loudly, trees and grass shook, mountains and caves echoed, wind rose and water splashed. I also felt uneasy and sad, solemn and afraid, terrified and unable to stay any longer. I returned to the boat, drifted to the middle of the river, hoping to reach a place to moor and rest. It was almost midnight, all around was quiet, suddenly there was a crane, flying across the river from the east, wings spread like wheels, black skirt and white shirt, suddenly cried out, swept past my boat and went west."
"Tu du khách khứ dư diệc tựu thuỵ. Mộng nhất đạo sĩ, vũ y biên tiên, quá Lâm Cao chi hạ, ấp dư nhi ngôn viết: “Xích Bích chi du lạc hồ?” Vấn kỳ tính danh, phủ nhi bất đáp. “Ô hô y hy! Ngã tri chi hĩ. Đoàn tích chi dạ, phi minh nhi quá ngã giả, phi dư dã gia?” Đạo sĩ cố tiếu, dư diệc kinh ngộ. Khai hộ thị chi, bất kiến kỳ xứ.","A moment later the guests left, and I also went to sleep. I dreamt of a Taoist, wearing fluttering feathers, walking past Lam Cao communal house, bowing to me and asking: “Did you have fun at Xich Bich?” I asked for his name, he bowed his head and did not answer. “Oh ha ha! I know already, wasn't it you who flew and cried over my boat just now?” The Taoist looked at me and laughed, I also woke up with a start. I opened the door and looked out, but saw nothing."
"Song ngoại nguyệt minh lung cổ thụ,","Outside the window, moonlight falls on the ancient tree,"
"Nguyệt di thụ ảnh đáo song tiền,","The moonlight moves, the shadow of the ancient tree is before the window."
"Quân cơ, quốc kế thương đàm liễu,","Military and state affairs have been discussed,"
Huề chẩm song bàng đối nguyệt miên.,"I take my pillow to the window, and sleep in the moonlight."
"Ô hô phu quân, hề phu quân!",Alas! My dear!
Hà cố phu quân cự khí trần?,Why did you leave this world so soon?
"Sử thiếp tòng kim hà xứ kiến,","From now on, where can I find,"
Thập phần tâm hợp ý đầu nhân.,A soulmate so perfectly matched!
"Phong như lợi kiếm ma sơn thạch,","Wind like a sharp sword honed on mountain stone,"
Hàn tự tiêm phong thích thụ chi;,Cold like a sharp spear piercing tree branches;
"Viễn tự chung thanh thôi khách bộ,","Distant temple bells urge the traveler's steps,"
Mục đồng xuy địch dẫn ngưu quy.,"The cowherd boy plays his flute, leading the cows home."
"Chử nhất oa phạn lục mao tiền,","Cooking a pot of rice costs six hao,"
